DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,DrawNumber
09-May-2023,13,17,21,28,46,1631
05-May-2023,3,8,18,34,49,1630
02-May-2023,7,32,44,47,48,1629
28-Apr-2023,11,13,16,23,34,1628
25-Apr-2023,10,29,30,40,45,1627
21-Apr-2023,7,8,18,33,42,1626
18-Apr-2023,17,21,23,35,37,1625
14-Apr-2023,4,11,37,44,49,1624
11-Apr-2023,10,14,16,19,29,1623
07-Apr-2023,5,26,28,36,46,1622
04-Apr-2023,10,16,31,33,50,1621
31-Mar-2023,16,18,28,34,47,1620
28-Mar-2023,16,21,34,36,44,1619
24-Mar-2023,5,12,25,36,46,1618
21-Mar-2023,1,9,20,29,32,1617
17-Mar-2023,5,15,26,37,49,1616
14-Mar-2023,16,26,28,31,46,1615
10-Mar-2023,9,16,37,38,48,1614
07-Mar-2023,11,13,24,35,50,1613
03-Mar-2023,3,6,8,24,50,1612
28-Feb-2023,12,29,33,37,47,1611
24-Feb-2023,7,23,34,42,48,1610
21-Feb-2023,21,22,34,41,49,1609
17-Feb-2023,8,23,27,42,45,1608
14-Feb-2023,24,26,38,43,46,1607
10-Feb-2023,3,13,25,36,47,1606
07-Feb-2023,2,8,34,44,47,1605
03-Feb-2023,2,14,17,32,45,1604
31-Jan-2023,7,12,19,33,43,1603
27-Jan-2023,8,9,15,19,31,1602
24-Jan-2023,11,27,41,43,47,1601
20-Jan-2023,3,6,13,40,42,1600
17-Jan-2023,18,21,30,46,50,1599
13-Jan-2023,4,13,25,33,37,1598
10-Jan-2023,11,13,34,40,42,1597
06-Jan-2023,16,31,35,44,45,1596
03-Jan-2023,20,21,29,45,46,1595
30-Dec-2022,17,34,42,47,48,1594
27-Dec-2022,19,31,33,34,43,1593
23-Dec-2022,16,17,23,26,35,1592
20-Dec-2022,1,11,17,20,27,1591
16-Dec-2022,2,15,19,35,44,1590
13-Dec-2022,3,9,12,26,30,1589
09-Dec-2022,8,27,31,46,50,1588
06-Dec-2022,12,20,25,26,27,1587
02-Dec-2022,12,21,35,39,45,1586
29-Nov-2022,15,20,24,35,38,1585
25-Nov-2022,19,21,35,37,39,1584
22-Nov-2022,21,22,24,29,42,1583
18-Nov-2022,13,16,19,35,41,1582
15-Nov-2022,13,21,24,31,33,1581
11-Nov-2022,2,19,24,25,44,1580